ID рейса;ID автомобиля;ID водителя;Дата начала рейса;Дата окончания рейса;Расстояние; Стоимость  
52;2136;2615;11.08.2023;13.10.2023;1636; 2 953 р. 
53;1938;347;01.05.2023;01.06.2023;607; 7 651 р. 
54;565;1491;01.11.2022;12.11.2022;1758; 7 680 р. 
55;1740;1001;21.08.2022;04.11.2022;444; 9 211 р. 
56;2966;1351;26.06.2023;24.08.2023;40; 343 р. 
57;1485;612;28.08.2022;18.10.2022;761; 5 488 р. 
58;390;2782;11.04.2023;29.05.2023;2116; 8 618 р. 
59;358;277;02.09.2022;20.09.2022;1806; 1 483 р. 
60;722;2806;27.09.2022;12.12.2022;1113; 6 255 р. 
61;443;560;31.07.2023;27.10.2023;398; 1 770 р. 
62;1559;159;14.03.2023;31.05.2023;14; 2 286 р. 
63;7;2878;26.08.2022;28.10.2022;1669; 3 811 р. 
64;2024;2456;05.05.2023;14.06.2023;1493; 1 613 р. 
65;81;1327;22.11.2022;22.12.2022;2589; 111 р. 
66;2763;1660;28.06.2023;08.07.2023;2354; 181 р. 
67;96;1667;28.11.2022;01.02.2023;2658; 6 070 р. 
68;1903;2337;29.01.2023;22.03.2023;2377; 6 793 р. 
69;2294;2002;05.05.2023;28.07.2023;1282; 5 368 р. 
70;2379;1680;29.06.2023;04.10.2023;889; 6 574 р. 
71;2219;1070;26.09.2022;02.01.2023;27; 5 283 р. 
72;2042;1588;12.09.2022;02.10.2022;2382; 1 524 р. 
73;2999;874;31.08.2022;15.10.2022;1915; 8 581 р. 
74;2722;760;19.07.2023;09.08.2023;2668; 4 388 р. 
75;163;1982;14.06.2023;02.08.2023;2531; 2 782 р. 
76;1186;1460;27.08.2022;23.10.2022;2076; 1 348 р. 
77;91;1125;01.09.2022;31.10.2022;1921; 7 157 р. 
78;1436;1366;30.11.2022;16.02.2023;2320; 9 766 р. 
79;2159;1118;08.09.2022;18.09.2022;1349; 1 097 р. 
80;705;171;22.02.2023;26.04.2023;2158; 2 583 р. 
81;519;43;27.03.2023;03.07.2023;2268; 9 992 р. 
82;1317;2208;02.12.2022;20.01.2023;81; 5 630 р. 
83;2426;136;19.03.2023;31.03.2023;837; 4 791 р. 
84;700;939;05.03.2023;17.05.2023;735; 6 348 р. 
85;2091;908;12.04.2023;06.06.2023;2636; 694 р. 
86;2318;2661;13.09.2022;04.10.2022;1011; 1 632 р. 
87;765;2020;23.02.2023;16.05.2023;67; 1 097 р. 
88;810;1752;03.03.2023;26.03.2023;395; 4 366 р. 
89;185;2653;29.01.2023;08.05.2023;119; 6 627 р. 
90;1480;937;27.09.2022;24.12.2022;2336; 5 472 р. 
91;2587;1506;12.01.2023;31.03.2023;885; 7 599 р. 
92;2800;533;03.11.2022;21.11.2022;1729; 2 518 р. 
93;115;1273;17.11.2022;04.02.2023;1338; 2 219 р. 
94;1446;507;07.02.2023;29.04.2023;878; 3 591 р. 
95;771;2606;01.08.2023;31.10.2023;1773; 4 740 р. 
96;414;511;16.05.2023;14.08.2023;125; 6 595 р. 
97;79;1326;20.12.2022;15.01.2023;1650; 5 040 р. 
98;696;1568;06.02.2023;20.04.2023;1433; 8 638 р. 
99;1631;1765;12.04.2023;20.06.2023;1312; 5 241 р. 
100;2005;1905;26.04.2023;23.07.2023;2972; 7 679 р. 
101;1840;2779;16.04.2023;12.06.2023;1247; 6 561 р. 
102;1626;550;03.02.2023;10.03.2023;2457; 7 835 р. 
103;2682;180;29.04.2023;21.05.2023;1920; 9 840 р. 
104;166;2601;14.12.2022;27.02.2023;959; 1 945 р. 
105;1655;711;03.08.2023;10.11.2023;2199; 1 038 р. 
106;2672;2924;15.01.2023;21.02.2023;989; 1 612 р. 
107;2572;214;15.01.2023;22.02.2023;2941; 407 р. 
108;1078;2367;29.04.2023;19.05.2023;501; 3 032 р. 
109;2770;2530;13.07.2023;14.09.2023;1241; 3 580 р. 
110;1994;328;27.03.2023;11.06.2023;1818; 2 243 р. 
111;1503;1995;18.01.2023;31.01.2023;954; 9 471 р. 
112;508;2835;04.05.2023;10.08.2023;1546; 4 544 р. 
113;1459;517;11.03.2023;24.04.2023;293; 9 876 р. 
114;807;1765;17.04.2023;08.05.2023;2683; 7 203 р. 
115;2052;174;06.06.2023;27.07.2023;2091; 4 691 р. 
116;2017;2560;03.10.2022;03.12.2022;1137; 9 839 р. 
117;2576;2219;18.05.2023;26.07.2023;1012; 2 905 р. 
118;2703;2450;06.05.2023;10.06.2023;2417; 4 562 р. 
119;2712;608;20.11.2022;30.12.2022;2811; 4 290 р. 
120;1868;2213;04.05.2023;29.07.2023;2490; 1 426 р. 
121;2310;178;17.07.2023;27.09.2023;1270; 3 543 р. 
122;2389;930;12.06.2023;13.09.2023;2947; 8 159 р. 
123;688;1432;25.09.2022;30.12.2022;835; 8 233 р. 
124;923;484;23.12.2022;04.03.2023;1074; 2 647 р. 
125;2811;510;05.07.2023;18.09.2023;889; 5 514 р. 
126;1191;2097;28.08.2022;27.11.2022;929; 5 184 р. 
127;2255;2127;18.02.2023;15.04.2023;1914; 451 р. 
128;2547;371;21.07.2023;09.10.2023;1309; 1 656 р. 
129;63;401;02.05.2023;31.07.2023;2679; 8 347 р. 
130;1679;1871;20.07.2023;10.08.2023;2938; 1 128 р. 
131;1315;1378;04.06.2023;26.06.2023;1596; 3 356 р. 
132;201;2493;17.04.2023;06.07.2023;2287; 7 730 р. 
133;2127;2618;12.10.2022;06.12.2022;1811; 7 497 р. 
134;2104;8;28.07.2023;28.08.2023;69; 3 506 р. 
135;180;1282;25.01.2023;07.03.2023;2455; 8 956 р. 
136;2643;792;16.06.2023;05.09.2023;2621; 3 823 р. 
137;2523;2066;21.04.2023;05.05.2023;750; 4 928 р. 
138;1756;2301;26.02.2023;02.04.2023;713; 4 333 р. 
139;2842;2973;03.03.2023;11.06.2023;471; 1 191 р. 
140;1360;2810;23.10.2022;07.12.2022;1467; 3 754 р. 
141;1401;517;23.11.2022;08.12.2022;2415; 1 952 р. 
142;2730;2979;05.04.2023;12.07.2023;101; 5 633 р. 
143;2700;2053;24.01.2023;11.04.2023;1355; 5 280 р. 
144;1088;2392;15.05.2023;29.05.2023;317; 1 026 р. 
145;2974;2525;21.04.2023;24.07.2023;1006; 6 867 р. 
146;186;1987;31.12.2022;16.03.2023;582; 9 871 р. 
147;2961;1681;12.11.2022;17.02.2023;2694; 6 893 р. 
148;1356;973;28.04.2023;04.08.2023;2498; 3 836 р. 
149;166;2731;29.09.2022;29.10.2022;1374; 5 897 р. 
150;777;2110;19.05.2023;06.06.2023;1130; 8 195 р. 
151;21;93;15.07.2023;11.08.2023;2526; 1 112 р. 
152;651;421;06.08.2023;23.08.2023;793; 451 р. 
153;2014;923;09.11.2022;21.12.2022;1855; 9 364 р. 
154;2530;1074;15.07.2023;24.08.2023;2183; 3 415 р. 
155;1974;1217;24.02.2023;29.05.2023;1020; 4 593 р. 
156;1078;1623;13.03.2023;24.04.2023;121; 1 543 р. 
157;1328;1913;22.07.2023;19.08.2023;1288; 1 263 р. 
158;719;1194;02.09.2022;29.09.2022;5; 4 456 р. 
159;960;1917;10.06.2023;15.08.2023;1245; 1 089 р. 
160;2091;138;15.08.2023;23.09.2023;2910; 4 137 р. 
161;2375;517;19.01.2023;15.04.2023;1137; 2 487 р. 
162;2925;1478;08.11.2022;01.12.2022;2377; 8 774 р. 
163;703;2543;12.01.2023;13.02.2023;954; 8 195 р. 
164;2391;689;15.04.2023;09.06.2023;1294; 7 367 р. 
165;2595;5;15.08.2022;06.11.2022;2532; 6 051 р. 
166;194;1219;12.08.2023;05.09.2023;1009; 9 948 р. 
167;2336;2436;20.09.2022;08.10.2022;1127; 9 975 р. 
168;86;2144;22.12.2022;14.01.2023;2026; 9 423 р. 
169;2937;1410;25.06.2023;06.08.2023;452; 6 774 р. 
170;887;2347;08.10.2022;19.12.2022;1777; 6 358 р. 
171;1349;618;16.03.2023;25.05.2023;450; 1 218 р. 
172;991;2233;01.07.2023;22.09.2023;2315; 4 977 р. 
173;315;2417;25.09.2022;21.11.2022;1678; 9 347 р. 
174;201;474;07.05.2023;03.06.2023;1223; 6 536 р. 
175;1833;2088;31.01.2023;13.04.2023;1195; 6 684 р. 
176;2435;2301;05.05.2023;20.06.2023;1588; 6 779 р. 
177;2935;1910;07.09.2022;28.09.2022;2053; 9 566 р. 
178;958;570;30.03.2023;14.06.2023;1665; 900 р. 
179;125;693;07.10.2022;10.11.2022;652; 1 091 р. 
180;2701;2918;23.03.2023;20.05.2023;1191; 2 623 р. 
181;2083;2343;01.12.2022;02.02.2023;1550; 3 981 р. 
182;1362;1768;10.07.2023;02.09.2023;273; 1 047 р. 
183;329;2416;08.04.2023;11.05.2023;2678; 5 965 р. 
184;671;2872;23.02.2023;06.05.2023;2957; 465 р. 
185;215;811;10.09.2022;27.11.2022;1115; 9 653 р. 
186;1242;292;17.06.2023;05.09.2023;2143; 8 184 р. 
187;2378;938;16.03.2023;15.05.2023;2692; 702 р. 
188;420;2750;08.09.2022;30.09.2022;1184; 5 596 р. 
189;2687;1732;03.04.2023;26.04.2023;2079; 7 355 р. 
190;2057;1088;23.02.2023;08.05.2023;1889; 5 004 р. 
191;351;237;31.05.2023;20.06.2023;2321; 4 743 р. 
192;2677;1937;13.06.2023;06.09.2023;90; 7 044 р. 
193;1146;2548;15.01.2023;01.04.2023;278; 4 935 р. 
194;1081;419;28.03.2023;12.06.2023;202; 7 657 р. 
195;326;1765;05.09.2022;20.10.2022;2793; 1 489 р. 
196;851;2688;11.01.2023;27.01.2023;2231; 713 р. 
197;2161;736;15.08.2023;11.11.2023;1481; 8 530 р. 
198;2148;2858;28.08.2022;18.11.2022;854; 8 841 р. 
199;1256;1281;30.10.2022;12.11.2022;2724; 8 897 р. 
200;1930;1818;27.09.2022;28.12.2022;1681; 9 669 р. 
201;1557;234;05.12.2022;05.03.2023;2086; 6 373 р. 
202;2442;1584;06.05.2023;21.05.2023;2999; 544 р. 
203;1377;272;21.01.2023;07.02.2023;1855; 2 849 р. 
204;2833;846;23.09.2022;27.11.2022;1778; 4 183 р. 
205;2613;300;21.09.2022;04.10.2022;1328; 2 586 р. 
206;861;1282;01.12.2022;18.01.2023;2158; 5 111 р. 
207;1928;2150;22.05.2023;21.06.2023;2558; 9 890 р. 
208;1067;1423;29.06.2023;08.09.2023;2669; 8 235 р. 
209;775;2097;25.01.2023;14.04.2023;241; 6 175 р. 
210;2771;2865;14.07.2023;11.10.2023;1001; 7 451 р. 
211;953;349;27.03.2023;13.06.2023;1996; 8 090 р. 
212;1699;65;17.08.2022;01.11.2022;898; 1 919 р. 
213;2802;2810;12.09.2022;15.12.2022;2481; 7 009 р. 
214;2567;1236;17.12.2022;27.02.2023;451; 522 р. 
215;2840;2845;26.06.2023;17.08.2023;219; 1 464 р. 
216;2971;1214;07.03.2023;06.04.2023;2165; 2 700 р. 
217;1014;1613;23.07.2023;09.08.2023;2360; 896 р. 
218;103;1119;16.06.2023;19.08.2023;2677; 3 423 р. 
219;338;2812;07.09.2022;18.10.2022;1790; 1 522 р. 
220;394;520;25.08.2022;15.11.2022;1276; 3 980 р. 
221;812;1304;08.08.2023;24.08.2023;1750; 3 875 р. 
222;2455;2304;31.07.2023;13.09.2023;2624; 7 425 р. 
223;2607;1282;10.01.2023;10.04.2023;511; 3 509 р. 
224;114;2462;06.06.2023;20.08.2023;764; 5 837 р. 
225;728;1999;02.08.2023;01.11.2023;2081; 2 869 р. 
226;2552;1314;12.03.2023;27.05.2023;37; 1 667 р. 
227;2273;2387;06.11.2022;11.01.2023;2145; 6 180 р. 
228;193;928;30.01.2023;01.03.2023;2568; 2 514 р. 
229;688;2542;21.11.2022;09.12.2022;2941; 314 р. 
230;2622;1261;28.02.2023;25.04.2023;934; 874 р. 
231;1234;708;30.10.2022;10.12.2022;1439; 2 660 р. 
232;1707;1658;02.07.2023;18.08.2023;2836; 1 688 р. 
233;1843;993;24.08.2022;08.10.2022;2760; 1 850 р. 
234;2272;2232;09.12.2022;19.02.2023;1760; 482 р. 
235;659;701;17.12.2022;07.03.2023;1876; 5 487 р. 
236;1655;458;28.09.2022;10.12.2022;2081; 5 778 р. 
237;1237;2384;18.07.2023;03.09.2023;1949; 774 р. 
238;1210;581;24.05.2023;01.08.2023;2997; 2 707 р. 
239;324;2150;09.01.2023;28.01.2023;1681; 706 р. 
240;1054;1747;22.05.2023;26.06.2023;1411; 8 118 р. 
241;15;2036;15.04.2023;30.05.2023;2752; 409 р. 
242;2067;2147;13.03.2023;30.04.2023;1916; 591 р. 
243;2460;2331;25.05.2023;19.07.2023;904; 962 р. 
244;2709;1704;17.12.2022;18.03.2023;323; 2 057 р. 
245;1296;2507;04.09.2022;13.12.2022;1224; 2 034 р. 
246;1743;49;20.08.2022;15.11.2022;1845; 2 364 р. 
247;2710;26;30.03.2023;11.04.2023;499; 804 р. 
248;1477;1660;30.07.2023;17.10.2023;454; 454 р. 
249;1521;1838;02.03.2023;21.05.2023;1394; 6 836 р. 
250;1514;179;26.10.2022;08.12.2022;2823; 275 р. 
251;2201;881;29.08.2022;14.09.2022;2477; 6 573 р. 
252;2321;913;16.10.2022;27.12.2022;2678; 7 794 р. 
253;180;1182;16.05.2023;06.06.2023;1401; 6 238 р. 
254;1546;1932;23.07.2023;14.10.2023;950; 4 543 р. 
255;305;2952;26.10.2022;01.01.2023;2500; 4 549 р. 
256;232;2220;10.08.2023;29.10.2023;485; 6 338 р. 
257;1787;1021;30.11.2022;23.01.2023;144; 2 262 р. 
258;2613;2053;24.07.2023;27.08.2023;2873; 4 018 р. 
259;1124;803;05.02.2023;10.04.2023;184; 9 382 р. 
260;47;2030;13.05.2023;31.05.2023;2549; 7 808 р. 
261;1367;2017;10.08.2023;25.10.2023;2372; 4 074 р. 
262;2519;1469;08.01.2023;20.03.2023;1859; 4 075 р. 
263;65;269;06.08.2023;30.08.2023;2873; 7 352 р. 
264;2883;1544;21.09.2022;22.10.2022;547; 1 635 р. 
265;2294;1768;27.12.2022;21.02.2023;2870; 157 р. 
266;2239;1994;19.01.2023;30.03.2023;1398; 872 р. 
267;1620;38;11.12.2022;07.01.2023;1312; 5 277 р. 
268;1969;341;22.11.2022;03.02.2023;742; 4 910 р. 
269;1982;1692;20.11.2022;23.01.2023;1948; 5 647 р. 
270;307;2537;22.12.2022;10.03.2023;1865; 914 р. 
271;2623;860;11.10.2022;01.12.2022;1114; 2 727 р. 
272;1574;887;15.06.2023;17.09.2023;2021; 3 577 р. 
273;1982;2117;19.10.2022;15.12.2022;2595; 2 512 р. 
274;12;297;25.04.2023;27.07.2023;1759; 4 418 р. 
275;1816;2118;25.01.2023;19.04.2023;2692; 3 551 р. 
276;1434;1065;20.06.2023;08.09.2023;665; 9 865 р. 
277;2701;2766;10.05.2023;12.06.2023;224; 2 637 р. 
278;1368;2678;27.07.2023;18.08.2023;1148; 6 488 р. 
279;2429;504;27.06.2023;16.09.2023;1064; 4 657 р. 
280;1711;1691;02.04.2023;13.05.2023;176; 8 171 р. 
281;1321;774;13.10.2022;27.11.2022;2199; 6 885 р. 
282;107;188;09.04.2023;09.06.2023;1573; 2 892 р. 
283;2122;785;30.07.2023;30.10.2023;2328; 237 р. 
284;2670;323;19.08.2022;05.10.2022;1881; 9 930 р. 
285;2728;543;22.02.2023;24.03.2023;2916; 716 р. 
286;1564;1521;10.07.2023;27.09.2023;599; 4 405 р. 
287;2637;178;01.07.2023;12.08.2023;2315; 3 726 р. 
288;2369;1111;20.10.2022;30.11.2022;2633; 6 893 р. 
289;557;1681;01.02.2023;05.04.2023;357; 7 596 р. 
290;2868;809;05.05.2023;09.06.2023;1588; 4 573 р. 
291;236;2710;29.11.2022;10.02.2023;1793; 2 811 р. 
292;1218;463;27.08.2022;27.10.2022;2658; 408 р. 
293;1763;1475;07.04.2023;08.06.2023;447; 9 539 р. 
294;2009;559;13.12.2022;04.03.2023;1663; 5 747 р. 
295;1222;1502;04.12.2022;23.01.2023;114; 6 203 р. 
296;1994;2407;30.03.2023;22.06.2023;21; 3 789 р. 
297;2251;478;23.10.2022;30.11.2022;696; 3 185 р. 
298;2582;1843;05.07.2023;25.09.2023;2758; 4 211 р. 
299;2348;1484;02.06.2023;22.08.2023;2264; 4 986 р. 
300;506;2292;20.09.2022;22.12.2022;2276; 453 р. 
301;1070;1548;06.01.2023;24.02.2023;574; 1 073 р. 
302;887;1787;05.06.2023;23.08.2023;444; 6 470 р. 
303;1923;199;10.10.2022;21.10.2022;1439; 9 149 р. 
304;1994;1742;25.04.2023;15.06.2023;2474; 8 372 р. 
305;2743;1151;31.01.2023;17.02.2023;1231; 763 р. 
306;1673;1121;07.07.2023;17.08.2023;2025; 1 938 р. 
307;2713;2931;12.01.2023;21.03.2023;1894; 7 856 р. 
308;838;2239;02.11.2022;03.01.2023;1476; 4 708 р. 
309;1708;1057;12.01.2023;03.04.2023;1020; 9 561 р. 
310;2278;2195;07.12.2022;11.02.2023;1284; 136 р. 
311;2148;1944;20.11.2022;12.02.2023;1968; 6 596 р. 
312;1679;196;20.05.2023;19.08.2023;490; 9 329 р. 
313;1129;2738;29.12.2022;04.04.2023;105; 6 865 р. 
314;2490;1181;01.05.2023;31.05.2023;1567; 2 858 р. 
315;609;99;10.10.2022;13.11.2022;2; 7 205 р. 
316;1649;2235;14.04.2023;30.04.2023;1668; 6 311 р. 
317;1172;2031;23.06.2023;03.07.2023;2377; 1 258 р. 
318;1868;1846;30.11.2022;27.12.2022;2600; 6 435 р. 
319;2099;356;20.01.2023;01.03.2023;1619; 1 497 р. 
320;710;1055;07.11.2022;26.01.2023;1132; 1 637 р. 
321;2425;2306;18.02.2023;29.04.2023;2245; 9 023 р. 
322;1048;1705;25.12.2022;08.02.2023;2122; 9 845 р. 
323;1977;1637;06.09.2022;22.11.2022;2665; 3 137 р. 
324;1650;1513;27.10.2022;27.11.2022;2498; 999 р. 
325;232;1479;01.01.2023;01.03.2023;2547; 787 р. 
326;1365;2691;06.07.2023;18.08.2023;1343; 7 700 р. 
327;739;1838;18.02.2023;05.05.2023;857; 9 021 р. 
328;1369;1642;23.04.2023;15.06.2023;263; 5 255 р. 
329;1589;353;22.03.2023;01.04.2023;606; 1 890 р. 
330;98;1890;19.02.2023;08.05.2023;234; 535 р. 
331;150;2969;28.06.2023;21.08.2023;2801; 2 024 р. 
332;1963;908;25.03.2023;19.04.2023;15; 5 984 р. 
333;1572;1138;15.04.2023;19.05.2023;1977; 5 098 р. 
334;2539;1421;15.11.2022;09.01.2023;667; 8 017 р. 
335;1312;2670;06.05.2023;22.06.2023;1293; 7 671 р. 
336;353;810;11.04.2023;18.06.2023;1583; 4 904 р. 
337;916;2693;17.06.2023;24.08.2023;823; 2 411 р. 
338;2270;1186;10.02.2023;20.02.2023;1596; 4 246 р. 
339;2880;1705;04.06.2023;12.09.2023;699; 5 231 р. 
340;2688;860;12.08.2023;14.09.2023;2512; 6 488 р. 
341;2604;154;13.07.2023;23.08.2023;2549; 5 290 р. 
342;1052;1666;30.12.2022;09.01.2023;874; 5 910 р. 
343;2425;218;30.11.2022;31.01.2023;1754; 939 р. 
344;175;854;07.11.2022;23.12.2022;2240; 3 044 р. 
345;2716;265;05.01.2023;09.04.2023;1307; 1 218 р. 
346;1728;523;08.05.2023;13.06.2023;230; 6 487 р. 
347;1553;2823;28.10.2022;19.01.2023;270; 2 834 р. 
348;2710;2669;27.08.2022;25.11.2022;2765; 3 478 р. 
349;2848;2573;03.07.2023;08.08.2023;1498; 7 022 р. 
350;1269;647;26.09.2022;09.12.2022;2324; 8 162 р. 
351;763;1945;22.05.2023;08.08.2023;511; 3 508 р. 
352;281;676;27.11.2022;18.01.2023;1707; 3 980 р. 
353;40;9;20.01.2023;26.02.2023;33; 621 р. 
354;196;1021;30.11.2022;03.02.2023;1439; 324 р. 
355;2963;1888;18.03.2023;13.06.2023;1715; 5 505 р. 
356;2279;241;18.09.2022;10.10.2022;2652; 3 318 р. 
357;1087;2077;10.09.2022;05.11.2022;2026; 1 726 р. 
358;768;2089;03.06.2023;25.07.2023;384; 2 905 р. 
359;2547;2171;15.07.2023;24.08.2023;353; 8 042 р. 
360;1543;2645;10.03.2023;17.05.2023;1269; 1 382 р. 
361;1234;1901;19.12.2022;20.03.2023;1199; 8 973 р. 
362;2129;1874;26.10.2022;16.11.2022;825; 6 862 р. 
363;2841;1212;28.07.2023;11.08.2023;1324; 5 781 р. 
364;2003;735;11.05.2023;09.08.2023;364; 7 335 р. 
365;1527;2742;31.12.2022;06.03.2023;2076; 9 765 р. 
366;1862;277;15.12.2022;27.02.2023;10; 214 р. 
367;1889;2134;07.07.2023;15.10.2023;380; 2 569 р. 
368;508;312;08.06.2023;10.07.2023;52; 8 097 р. 
369;547;2400;23.03.2023;03.04.2023;196; 3 007 р. 
370;1580;186;17.10.2022;08.11.2022;11; 1 768 р. 
371;483;1581;20.05.2023;21.06.2023;2060; 7 147 р. 
372;115;2550;16.03.2023;15.06.2023;175; 8 686 р. 
373;1922;2130;25.06.2023;01.10.2023;2544; 9 055 р. 
374;466;1815;11.02.2023;19.04.2023;262; 6 933 р. 
375;1348;2970;07.04.2023;10.05.2023;1044; 9 236 р. 
376;2365;2769;25.04.2023;20.07.2023;2904; 9 761 р. 
377;1195;2784;22.02.2023;30.05.2023;285; 9 474 р. 
378;501;1605;18.03.2023;01.06.2023;1739; 4 615 р. 
379;1775;632;12.08.2023;11.09.2023;123; 8 579 р. 
380;661;2665;25.04.2023;14.07.2023;143; 8 884 р. 
381;2414;2882;29.09.2022;14.10.2022;1565; 7 152 р. 
382;620;2868;05.09.2022;20.09.2022;2367; 4 837 р. 
383;995;1423;09.12.2022;11.02.2023;2151; 9 414 р. 
384;29;1574;21.10.2022;12.11.2022;550; 6 294 р. 
385;1715;23;16.04.2023;26.05.2023;274; 3 532 р. 
386;2019;2965;06.03.2023;18.03.2023;1156; 389 р. 
387;2813;1839;14.04.2023;30.06.2023;524; 6 747 р. 
388;2223;28;08.04.2023;06.06.2023;1966; 5 962 р. 
389;1691;161;27.10.2022;15.12.2022;1719; 4 738 р. 
390;2078;2693;30.08.2022;11.10.2022;502; 5 236 р. 
391;2694;796;19.06.2023;17.07.2023;619; 4 951 р. 
392;1813;1974;24.06.2023;12.08.2023;1788; 7 211 р. 
393;1277;424;21.10.2022;09.12.2022;1651; 4 432 р. 
394;847;634;01.09.2022;09.10.2022;2154; 6 982 р. 
395;1244;2348;30.08.2022;16.09.2022;1365; 9 531 р. 
396;2068;1583;18.03.2023;19.05.2023;135; 1 998 р. 
397;957;736;11.06.2023;27.06.2023;1895; 2 587 р. 
398;1787;1157;28.12.2022;13.03.2023;2119; 3 612 р. 
399;1705;2859;22.07.2023;05.09.2023;2019; 112 р. 
400;503;1662;13.09.2022;18.10.2022;2876; 7 989 р. 
401;1351;1564;17.11.2022;06.01.2023;2666; 3 087 р. 
402;64;1361;03.08.2023;17.08.2023;2065; 7 641 р. 
403;92;2541;16.08.2022;23.10.2022;750; 4 246 р. 
404;878;466;05.02.2023;23.02.2023;2319; 1 156 р. 
405;2975;1523;06.09.2022;25.11.2022;2902; 3 104 р. 
406;1642;569;17.04.2023;09.06.2023;1069; 4 624 р. 
407;1066;2807;16.10.2022;15.01.2023;1620; 6 750 р. 
408;697;2365;12.12.2022;17.02.2023;1191; 111 р. 
409;1441;2209;25.04.2023;05.05.2023;582; 2 546 р. 
410;2250;653;20.04.2023;19.07.2023;2689; 7 779 р. 
411;3000;1583;19.04.2023;06.06.2023;1790; 181 р. 
412;2780;2377;06.05.2023;29.07.2023;151; 2 610 р. 
413;70;2755;23.06.2023;14.07.2023;462; 2 920 р. 
414;275;1990;04.09.2022;02.12.2022;1477; 8 233 р. 
415;1113;111;16.11.2022;09.12.2022;2661; 551 р. 
416;2183;2832;10.06.2023;09.07.2023;186; 5 680 р. 
417;2101;722;11.11.2022;28.12.2022;2148; 1 862 р. 
418;1098;53;26.01.2023;18.03.2023;566; 6 610 р. 
419;2681;1029;26.01.2023;24.04.2023;1342; 7 692 р. 
420;223;965;16.11.2022;01.02.2023;1444; 4 132 р. 
421;967;407;02.02.2023;17.03.2023;2739; 9 541 р. 
422;2343;1526;22.02.2023;28.05.2023;313; 6 521 р. 
423;365;1069;11.09.2022;18.10.2022;2334; 6 940 р. 
